,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
133,Cycling,2023-10-31 17:14:47,Johnston Cycling,19.33,287,132,158,26.7,36.3,33,52,00:43:10,00:45:43,0.0,0.0,1698772487
134,Cycling,2023-10-31 14:37:49,Urbandale Cycling,3.87,83,142,160,23.8,33.3,14,29,00:09:38,00:10:10,0.0,0.0,1698763069
135,Cycling,2023-10-31 05:26:31,Des Moines Cycling,18.31,463,154,177,20.6,33.2,105,63,00:52:53,00:55:59,0.0,0.0,1698729991
136,Virtual Cycling,2023-10-30 18:26:44,Zwift - Glasgow Crit Circuit in Scotland,3.32,65,--,--,34.8,53.4,33,--,00:05:41,00:05:42,0.0,0.0,1698690404
137,Virtual Cycling,2023-10-30 18:06:23,Zwift - City and the Sgurr in Scotland,8.58,209,--,--,26.3,60.5,168,--,00:19:30,00:19:31,0.0,0.0,1698689183
138,Virtual Cycling,2023-10-30 17:18:14,Zwift - The Muckle Yin in Scotland,23.89,444,--,--,30.2,59.6,282,--,00:47:24,00:47:24,0.0,0.0,1698686294
139,Cycling,2023-10-30 16:00:30,Urbandale Cycling,21.42,354,139,154,26.7,39.8,32,79,00:47:56,00:49:55,0.0,0.0,1698681630
140,Cycling,2023-10-30 05:43:59,Des Moines Cycling,21.3,451,146,166,23.3,32.0,64,23,00:54:38,00:55:18,0.0,0.0,1698644639
141,Virtual Cycling,2023-10-29 18:43:09,Zwift - Douce France in France,24.53,401,--,--,31.9,47.8,133,--,00:46:01,00:46:02,0.0,0.0,1698604989
142,Virtual Cycling,2023-10-29 18:22:40,Zwift - Champs-lyses in Paris,10.01,178,--,--,31.9,48.1,53,--,00:18:44,00:18:46,0.0,0.0,1698603760
143,Virtual Cycling,2023-10-29 18:01:34,Zwift - Lutece Express in Paris,10.6,180,--,--,30.5,45.0,66,--,00:20:51,00:20:52,0.0,0.0,1698602494
144,Virtual Cycling,2023-10-27 19:04:47,Zwift - The Fan Flats in Richmond,7.73,140,--,--,32.4,44.5,34,--,00:14:16,00:14:17,0.0,0.0,1698433487
145,Virtual Cycling,2023-10-27 17:36:17,Zwift - Lutscher CCW in Innsbruck,23.66,714,--,--,16.3,71.7,827,--,01:27:00,01:27:00,0.0,0.0,1698428177
146,Cycling,2023-10-27 15:32:35,Urbandale Cycling,21.47,334,135,150,26.5,37.4,28,74,00:48:17,00:49:02,0.0,0.0,1698420755
147,Cycling,2023-10-27 05:51:30,Des Moines Cycling,21.3,475,151,174,23.0,31.0,85,41,00:55:17,00:57:34,0.0,0.0,1698385890
148,Virtual Cycling,2023-10-26 20:02:13,Zwift - Classique in London,6.11,97,--,--,32.0,44.2,25,--,00:11:24,00:11:26,0.0,0.0,1698350533
149,Virtual Cycling,2023-10-26 19:39:26,Zwift - Greater London Flat in London,12.07,201,--,--,32.7,44.1,53,--,00:22:08,00:22:09,0.0,0.0,1698349166
150,Cycling,2023-10-26 18:24:20,Des Moines Cycling,27.21,365,129,148,27.2,35.5,21,24,00:59:48,01:00:58,0.0,0.0,1698344660
151,Cycling,2023-10-26 17:11:39,Johnston Cycling,19.38,328,137,152,25.0,34.0,28,48,00:46:15,00:48:55,0.0,0.0,1698340299
152,Cycling,2023-10-26 15:08:26,Urbandale Cycling,3.84,60,120,140,23.6,33.7,14,32,00:09:45,00:10:21,0.0,0.0,1698332906
153,Cycling,2023-10-26 05:39:00,Des Moines Cycling,18.27,316,131,156,22.0,35.0,113,70,00:49:31,00:53:08,0.0,0.0,1698298740
154,Virtual Cycling,2023-10-25 17:55:51,Zwift - Greatest London Flat in London,24.26,378,--,--,29.4,57.1,170,--,00:49:22,00:49:24,0.0,0.0,1698256551
155,Virtual Cycling,2023-10-25 17:16:09,Zwift - London Loop in London,15.39,298,--,--,25.3,74.9,238,--,00:36:30,00:36:32,0.0,0.0,1698254169
156,Cycling,2023-10-25 15:41:41,Urbandale Cycling,21.41,298,125,157,24.5,38.5,26,73,00:52:09,00:55:48,0.0,0.0,1698248501
157,Cycling,2023-10-25 06:45:19,Urbandale Cycling,2.56,49,143,160,27.2,33.5,13,15,00:05:36,00:05:41.0,0.0,0.0,1698216319
158,Cycling,2023-10-25 05:37:45,Des Moines Cycling,23.6,428,140,168,24.2,37.7,88,42,00:58:19,00:58:32,0.0,0.0,1698212265
159,Virtual Cycling,2023-10-24 19:39:02,Zwift - Grand Central Circuit in New York,7.2,151,--,--,22.9,73.8,147,--,00:18:44,00:18:48,0.0,0.0,1698176342
160,Virtual Cycling,2023-10-24 19:13:09,Zwift - Park Perimeter Loop in New York,10.0,165,--,--,25.6,58.5,137,--,00:23:21,00:23:24,0.0,0.0,1698174789
161,Virtual Cycling,2023-10-24 18:39:08,Zwift - The 6 Train in New York,13.92,199,--,--,27.2,51.4,143,--,00:30:39,00:30:39,0.0,0.0,1698172748
162,Virtual Cycling,2023-10-24 18:29:01,Zwift - The 6 Train in New York,2.57,39,--,--,26.9,50.7,27,--,00:05:39,00:05:43,0.0,0.0,1698172141
163,Cycling,2023-10-24 17:16:48,Johnston Cycling,20.07,355,137,152,24.2,33.9,34,61,00:49:29,00:50:54,0.0,0.0,1698167808
164,Cycling,2023-10-24 14:49:20,Urbandale Cycling,3.85,54,114,143,23.6,36.4,5,30,00:09:35,00:11:12,0.0,0.0,1698158960
165,Cycling,2023-10-24 05:40:35,Des Moines Cycling,18.37,357,140,166,23.1,36.5,110,67,00:47:41,00:48:21,0.0,0.0,1698126035
166,Cycling,2023-10-23 16:12:54,Des Moines Cycling,57.97,691,128,159,26.0,41.4,80,81,02:13:08,02:23:38,0.0,0.0,1698077574
167,Cycling,2023-10-23 14:36:36,Urbandale Cycling,21.44,355,132,157,24.1,41.6,28,74,00:53:12,00:53:55,0.0,0.0,1698071796
168,Cycling,2023-10-23 05:44:22,Des Moines Cycling,21.28,396,138,164,23.5,36.7,83,39,00:54:04,00:55:13,0.0,0.0,1698039862
